,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Axim,GH,75.97,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
9,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
13,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
15,Charters Towers,AU,89.67,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
18,Banda Aceh,ID,85.57,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
21,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
22,Lagos,NG,77.32,overcast clouds,6.5833,3.75,
24,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Hithadhoo,MV,80.94,overcast clouds,-0.6,73.0833,Scoop Guest House
26,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
29,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
31,Nosy Varika,MG,73.76,clear sky,-20.5833,48.5333,Hotel Volazara
35,Fomboni,KM,76.28,few clouds,-12.28,43.7425,Auberge les abou
41,Ponta Do Sol,PT,73.0,light rain,32.6667,-17.1,Hotel do Campo
42,Carnarvon,AU,77.9,clear sky,-24.8667,113.6333,Hospitality Carnarvon
44,Alice Springs,AU,88.21,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
45,Sorbhog,IN,80.53,clear sky,26.5,90.8667,Parikhit house
51,Butaritari,KI,82.11,broken clouds,3.0707,172.7902,Isles Sunset Lodge
52,Saint George,US,70.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
55,Airai,TL,71.17,broken clouds,-8.9266,125.4092,
58,Itarema,BR,78.01,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
62,Diffa,NE,77.45,clear sky,13.3154,12.6113,ProDAF/Diffa
63,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
64,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Aswan,EG,72.7,clear sky,24.0934,32.907,Nuba Nile
68,Soe,ID,78.28,light rain,-9.8607,124.284,Dena Hotel
73,Hobyo,SO,79.72,light rain,5.3505,48.5268,Halane Hotel and Restaurent
77,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
79,Robertsport,LR,77.2,broken clouds,6.7533,-11.3686,Kwepunha Retreat
97,Atuona,PF,77.2,scattered clouds,-9.8,-139.0333,Villa Enata
101,Nichinan,JP,73.08,overcast clouds,31.6,131.3667,Guest House Aki
102,Tamandare,BR,73.85,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
104,Amahai,ID,85.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
109,Senanga,ZM,70.54,broken clouds,-16.1167,23.2667,Zango lodge
111,Alenquer,BR,73.09,broken clouds,-1.9417,-54.7383,Detinha Hotel
112,Victoria,HK,71.33,light rain,22.2855,114.1577,Mini Central
115,Touros,BR,77.25,few clouds,-5.1989,-35.4608,INN NEW HORIZON
125,Calamar,CO,75.65,overcast clouds,10.2511,-74.9146,Hostal Katyalex
130,Ishigaki,JP,73.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
132,Lady Lake,US,73.35,clear sky,28.9175,-81.9229,"Holiday Inn Express & Suites the Villages, an IHG Hotel"
133,Dingle,PH,85.93,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
144,Manokwari,ID,84.79,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
148,Morondava,MG,78.58,clear sky,-20.2833,44.2833,La Case Bambou
149,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
153,Dwarka,IN,86.0,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
154,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
155,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
157,San Pedro,PH,89.35,light rain,14.35,121.0167,Palines Apartment and Guesthouse
159,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
164,Moundou,TD,71.71,scattered clouds,8.5667,16.0833,Planete Life
168,Adrar,MR,80.49,broken clouds,20.5022,-10.0711,
171,Nouadhibou,MR,76.66,overcast clouds,20.931,-17.0347,El Medina
173,Sola,VU,81.86,broken clouds,-13.8833,167.55,Leumerus Bungalows
176,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
179,Sikasso,ML,72.99,broken clouds,10.9167,-7.0,
182,Sao Filipe,CV,77.83,overcast clouds,14.8961,-24.4956,Hotel Xaguate
186,Kavaratti,IN,78.33,moderate rain,10.5669,72.642,Green leaf
190,Sao Gabriel Da Cachoeira,BR,71.78,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
194,Caravelas,BR,71.65,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
196,Sugod,PH,86.58,overcast clouds,12.987,124.0805,Jefstar Resort and Events venue
198,Tura,IN,82.87,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
200,Sabla,NG,75.85,scattered clouds,12.7525,4.7077,
202,Intipuca,SV,78.75,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
203,Yaan,NG,72.99,overcast clouds,7.3833,8.5667,
205,Ixtapa,MX,81.63,broken clouds,20.7,-105.2,hotel la terminal
206,Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
207,Zwedru,LR,70.77,overcast clouds,6.0667,-8.1281,Elijah Worjloh
209,Arraial Do Cabo,BR,71.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
210,Auki,SB,84.56,scattered clouds,-8.7676,160.7034,Auki Motel
219,Sri Aman,MY,86.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
221,Bambanglipuro,ID,82.11,moderate rain,-7.95,110.2833,Puri Brata
223,Loa Janan,ID,86.61,overcast clouds,-0.583,117.095,Kost Garuda
224,Mandera,KE,78.84,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
225,Malakal,SS,71.96,overcast clouds,9.5334,31.6605,Nile Palace Hotel
228,Vega De Alatorre,MX,78.13,light rain,20.0333,-96.6333,Hotel D Luxe
230,Erzin,TR,72.48,scattered clouds,36.9559,36.2,Artemis Otel
235,Mabaruma,GY,74.1,broken clouds,8.2,-59.7833,Monty Brooms Guest House
237,San Patricio,US,73.26,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
238,Booue,GA,70.72,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
242,Yeppoon,AU,80.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
244,Tungi,BD,87.8,haze,23.89,90.4058,Male Hostel Near Airport
247,Gunjur,GM,77.07,few clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
249,Batticaloa,LK,84.83,overcast clouds,7.7102,81.6924,Grand Star Guest House
255,Puerto Quijarro,BO,78.04,broken clouds,-17.7833,-57.7667,Hotel palance
257,Buala,SB,85.48,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
258,Boyolangu,ID,78.6,moderate rain,-8.1181,111.8935,Yos ega cv
261,Zhuhai,CN,72.86,light intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
262,Leticia,CO,75.25,scattered clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
266,Bengkulu,ID,82.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
268,Taveta,KE,70.56,overcast clouds,-3.3963,37.6736,Challa Hotel
272,Chapada Dos Guimaraes,BR,71.26,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
276,Vinh,VN,79.83,broken clouds,18.6667,105.6667,Vuong Hoan 2
283,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
284,Nishihara,JP,73.06,overcast clouds,26.1842,127.7558,Minshuku Agaihama
286,Luanda,AO,74.77,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
288,Pekalongan,ID,85.15,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
289,Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
292,Marawi,PH,81.07,overcast clouds,7.9986,124.2928,Derogongan Residence
293,Labrea,BR,72.5,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
297,Xai-Xai,MZ,74.66,overcast clouds,-25.0519,33.6442,Complexo da Familia
298,Port Keats,AU,89.56,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
299,Puerto Del Rosario,ES,71.35,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
301,Canutama,BR,72.45,overcast clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
304,Aquin,HT,77.45,light rain,18.2833,-73.4,Asheev Beach
306,Kirakira,SB,84.47,few clouds,-10.4544,161.9205,SanBiz Lodge
307,Campeche,MX,74.35,overcast clouds,19.0,-90.5,
311,Fort Wellington,GY,78.64,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
