,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Christchurch,NZ,-43.5333,172.6333,52.92,79,100,24.16,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,66.54,87,49,1.01,scattered clouds
2,Albany,US,42.6001,-73.9662,51.94,94,100,2.08,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,61.18,96,51,1.99,broken clouds
4,Van Buren,US,35.4368,-94.3483,50.02,37,0,5.75,clear sky
5,Amga,RU,60.8953,131.9608,23.7,79,100,8.5,overcast clouds
6,Yeroham,IL,30.9872,34.9314,65.08,84,2,2.93,clear sky
7,Axim,GH,4.8699,-2.2405,75.97,90,15,3.38,few clouds
8,Ribeira Grande,PT,38.5167,-28.7,58.77,69,79,5.99,broken clouds
9,Avarua,CK,-21.2078,-159.775,75.25,69,20,12.66,few clouds
10,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,21.85,broken clouds
11,Cidreira,BR,-30.1811,-50.2056,63.75,92,99,17.25,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,58.8,90,99,6.96,overcast clouds
13,Bambous Virieux,MU,-20.3428,57.7575,75.22,64,20,11.5,few clouds
14,Pacific Grove,US,36.6177,-121.9166,61.43,84,0,5.75,clear sky
15,Charters Towers,AU,-20.1,146.2667,89.67,35,38,21.14,scattered clouds
16,Dudinka,RU,69.4058,86.1778,31.62,98,100,12.39,light snow
17,Cape Town,ZA,-33.9258,18.4232,62.1,84,0,5.75,clear sky
18,Banda Aceh,ID,5.5577,95.3222,85.57,65,96,15.43,overcast clouds
19,Inhambane,MZ,-23.865,35.3833,67.98,94,20,3.44,few clouds
20,Brae,GB,60.3964,-1.353,48.96,80,70,17.6,broken clouds
21,Geraldton,AU,-28.7667,114.6,81.01,24,0,12.66,clear sky
22,Lagos,NG,6.5833,3.75,77.32,93,100,1.16,overcast clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,13.8,overcast clouds
24,Hilo,US,19.7297,-155.09,80.28,88,100,5.75,overcast clouds
25,Hithadhoo,MV,-0.6,73.0833,80.94,69,100,4.81,overcast clouds
26,Souillac,MU,-20.5167,57.5167,73.78,64,20,11.5,few clouds
27,Saint-Philippe,RE,-21.3585,55.7679,76.59,68,35,10.11,scattered clouds
28,Ketchikan,US,55.3422,-131.6461,55.87,94,100,11.5,moderate rain
29,Vila Velha,BR,-20.3297,-40.2925,75.15,89,75,9.22,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,7.36,77,100,4.92,overcast clouds
31,Nosy Varika,MG,-20.5833,48.5333,73.76,61,10,1.01,clear sky
32,Clyde River,CA,70.4692,-68.5914,23.23,100,100,6.91,light snow
33,Ushuaia,AR,-54.8,-68.3,40.66,93,20,8.05,few clouds
34,Hamilton,US,39.1834,-84.5333,39.99,79,100,14.97,overcast clouds
35,Fomboni,KM,-12.28,43.7425,76.28,78,13,9.22,few clouds
36,Westport,US,41.1415,-73.3579,56.77,93,100,3.44,overcast clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,77,84,14.18,light rain
38,Bluff,NZ,-46.6,168.3333,48.99,60,60,24.18,broken clouds
39,Pecos,US,31.4229,-103.4932,54.43,93,100,5.75,overcast clouds
40,Zalaszentgrot,HU,46.9447,17.0792,44.56,62,68,4.74,broken clouds
41,Ponta Do Sol,PT,32.6667,-17.1,73.0,86,26,13.24,light rain
42,Carnarvon,AU,-24.8667,113.6333,77.9,37,0,10.94,clear sky
43,Hellvik,NO,59.9156,5.781,50.56,93,86,3.09,overcast clouds
